year,km_driven,fuel,seller_type,transmission,owner,selling_price
2007,70000,Petrol,Individual,Manual,First Owner,60000
2007,50000,Petrol,Individual,Manual,First Owner,135000
2012,100000,Diesel,Individual,Manual,First Owner,600000
2017,46000,Petrol,Individual,Manual,First Owner,250000
2014,141000,Diesel,Individual,Manual,Second Owner,450000
2007,125000,Petrol,Individual,Manual,First Owner,140000
2016,25000,Petrol,Individual,Manual,First Owner,550000
2014,60000,Petrol,Individual,Manual,Second Owner,240000
2015,25000,Petrol,Individual,Manual,First Owner,850000
2017,78000,CNG,Individual,Manual,First Owner,365000
2015,35000,Petrol,Individual,Manual,First Owner,260000
2014,100000,Petrol,Individual,Manual,First Owner,250000
2018,25000,Petrol,Dealer,Automatic,First Owner,1650000
2007,70000,Petrol,Individual,Manual,First Owner,60000
2007,50000,Petrol,Individual,Manual,First Owner,135000
2012,100000,Diesel,Individual,Manual,First Owner,600000
2017,46000,Petrol,Individual,Manual,First Owner,250000
2014,141000,Diesel,Individual,Manual,Second Owner,450000
2007,125000,Petrol,Individual,Manual,First Owner,140000
2016,25000,Petrol,Individual,Manual,First Owner,550000
2014,60000,Petrol,Individual,Manual,Second Owner,240000
2015,25000,Petrol,Individual,Manual,First Owner,850000
2017,78000,CNG,Individual,Manual,First Owner,365000
2015,35000,Petrol,Individual,Manual,First Owner,260000
2014,100000,Petrol,Individual,Manual,First Owner,250000
2018,25000,Petrol,Dealer,Automatic,First Owner,1650000
2015,24000,Petrol,Dealer,Manual,First Owner,585000
2019,5000,Diesel,Dealer,Manual,First Owner,1195000
2013,33000,Diesel,Individual,Manual,Second Owner,390000
2014,28000,Diesel,Dealer,Automatic,First Owner,1964999
2013,59000,Diesel,Dealer,Automatic,First Owner,1425000
2018,4500,Diesel,Dealer,Automatic,First Owner,975000
2011,175900,Diesel,Dealer,Automatic,First Owner,1190000
2018,14500,Petrol,Dealer,Manual,First Owner,930000
2018,15000,Petrol,Individual,Manual,First Owner,525000
2013,50000,Diesel,Dealer,Automatic,First Owner,1735000
2012,33800,Diesel,Dealer,Automatic,Second Owner,1375000
2011,130400,Diesel,Dealer,Automatic,Second Owner,450000
2016,50000,Petrol,Individual,Automatic,First Owner,900000
2015,80000,Diesel,Individual,Manual,First Owner,1300000
2019,10000,Petrol,Individual,Manual,First Owner,1400000
2010,119000,Petrol,Dealer,Automatic,First Owner,850000
2014,60000,Petrol,Individual,Manual,Fourth & Above Owner,229999
2013,75800,Diesel,Dealer,Automatic,Second Owner,1550000
2009,78000,Diesel,Dealer,Automatic,Third Owner,1250000
2012,40000,Diesel,Individual,Manual,First Owner,625000
2014,50000,Diesel,Individual,Manual,First Owner,1050000
2014,74000,Diesel,Individual,Manual,Second Owner,560000
2014,64000,Petrol,Individual,Manual,Second Owner,290000
2012,60000,Petrol,Individual,Manual,Second Owner,275000
2009,120000,Diesel,Individual,Manual,Second Owner,411000
2009,79000,Petrol,Individual,Manual,Third Owner,150000
2019,15000,Petrol,Individual,Manual,First Owner,500000
2006,80000,Petrol,Individual,Manual,First Owner,100000
2017,18500,Diesel,Dealer,Manual,First Owner,725000
2018,10200,Petrol,Dealer,Manual,First Owner,401000
2018,29000,Diesel,Dealer,Manual,First Owner,750000
2018,28000,Petrol,Dealer,Manual,First Owner,310000
2016,46000,Diesel,Dealer,Manual,First Owner,665000
2014,70000,Diesel,Dealer,Manual,First Owner,465000
2012,60000,Petrol,Individual,Manual,Second Owner,160000
1996,35000,Diesel,Individual,Manual,Second Owner,250000
2014,90000,Diesel,Dealer,Manual,First Owner,675000
2013,80000,Petrol,Dealer,Manual,First Owner,300000
2005,80000,Diesel,Individual,Manual,First Owner,70000
2014,73300,Petrol,Dealer,Manual,Second Owner,240000
2014,92000,Diesel,Dealer,Manual,First Owner,525000
2009,66764,Petrol,Dealer,Manual,Second Owner,151000
2009,100000,Petrol,Individual,Manual,First Owner,140000
2010,350000,Diesel,Individual,Manual,Second Owner,280000
2011,230000,Diesel,Individual,Manual,First Owner,350000
2017,60000,Diesel,Individual,Manual,First Owner,570000
2018,31000,Petrol,Individual,Manual,First Owner,300000
2007,39000,Diesel,Individual,Manual,First Owner,100000
2009,120000,Diesel,Individual,Manual,Third Owner,500000
2014,166000,Diesel,Individual,Manual,Fourth & Above Owner,125000
2006,110000,Petrol,Individual,Manual,Third Owner,130000
2017,35000,Diesel,Individual,Manual,First Owner,925000
2018,60000,Diesel,Individual,Manual,First Owner,750000
2007,54000,Petrol,Individual,Automatic,Second Owner,200000
2010,63000,Petrol,Individual,Manual,Second Owner,248000
2014,120000,Diesel,Individual,Manual,Second Owner,450000
2005,120000,Petrol,Individual,Manual,Third Owner,80000
2014,76000,Petrol,Individual,Manual,Second Owner,650000
2015,80000,Diesel,Individual,Manual,First Owner,450000
2019,25000,Diesel,Individual,Manual,First Owner,650000
2016,11958,Petrol,Dealer,Manual,First Owner,495000
2015,20000,Petrol,Dealer,Manual,First Owner,371000
2017,9000,Petrol,Dealer,Manual,First Owner,1025000
2017,6500,Diesel,Dealer,Automatic,First Owner,8150000
2015,70000,Diesel,Individual,Manual,First Owner,750000
2013,120000,Diesel,Individual,Manual,First Owner,600000
2007,58000,Petrol,Dealer,Manual,Second Owner,80000
2013,62200,Diesel,Dealer,Manual,First Owner,325000
2014,34000,Diesel,Dealer,Automatic,Second Owner,1470000
2015,53000,Diesel,Individual,Manual,Second Owner,350000
2013,49000,Diesel,Dealer,Automatic,First Owner,2800000
2017,15000,Petrol,Dealer,Manual,Second Owner,210000
2013,50000,Petrol,Individual,Manual,First Owner,450000
2013,53000,Diesel,Dealer,Automatic,First Owner,1150000
2009,63500,Petrol,Dealer,Automatic,First Owner,210000
2018,9800,Petrol,Dealer,Automatic,First Owner,4500000
2017,13000,Diesel,Individual,Automatic,First Owner,2750000
2018,21000,Diesel,Dealer,Automatic,First Owner,1975000
2008,29173,Petrol,Dealer,Manual,First Owner,175000
2012,48000,Diesel,Dealer,Automatic,First Owner,2500000
2017,120000,Diesel,Individual,Manual,First Owner,628000
2010,100000,Diesel,Individual,Manual,First Owner,600000
2017,30000,Petrol,Individual,Manual,First Owner,399000
2018,87000,Diesel,Individual,Manual,First Owner,750000
2019,15000,Petrol,Individual,Manual,First Owner,750000
2017,16000,Petrol,Individual,Manual,First Owner,315000
2012,60000,Diesel,Individual,Manual,First Owner,600000
2010,60000,Petrol,Individual,Manual,Fourth & Above Owner,100000
2011,110000,Petrol,Individual,Manual,Third Owner,250000
2017,25000,Petrol,Individual,Manual,First Owner,350000
2016,60000,Diesel,Individual,Manual,First Owner,780000
2014,79350,Diesel,Individual,Manual,Second Owner,434000
2016,80000,Petrol,Individual,Automatic,First Owner,690000
2014,90000,Diesel,Individual,Manual,Second Owner,555000
2007,90000,Petrol,Individual,Manual,Second Owner,120000
2014,120000,Diesel,Individual,Manual,Second Owner,500000
2013,60000,Diesel,Individual,Manual,Second Owner,165000
2004,50000,Petrol,Individual,Manual,First Owner,95000
2018,20000,Petrol,Individual,Manual,First Owner,550000
2007,110000,Diesel,Individual,Manual,Fourth & Above Owner,100000
2012,50000,Petrol,Individual,Manual,Second Owner,100000
2012,100000,Diesel,Individual,Manual,First Owner,500000
2016,70000,Diesel,Individual,Manual,Second Owner,800000
2016,70000,Diesel,Individual,Manual,Second Owner,840000
2016,50000,Petrol,Individual,Manual,First Owner,490000
2010,81000,Diesel,Individual,Manual,Second Owner,125000
2012,120000,Diesel,Individual,Manual,Third Owner,400000
2015,3600,Diesel,Dealer,Manual,First Owner,1000000
2015,14272,Petrol,Dealer,Manual,First Owner,530000
2017,49213,Diesel,Dealer,Manual,First Owner,840000
2015,40000,Petrol,Individual,Manual,First Owner,229999
1998,40000,Petrol,Individual,Manual,Fourth & Above Owner,40000
2012,80000,Petrol,Individual,Manual,First Owner,130000
2015,70000,Petrol,Individual,Manual,First Owner,200000
